reviewer_rating,review_date,reviewer_category,reviewer_sentiment,cleaned_text_review,review_year,review_month
5.0,2022-09-27,Friends,1,visited center twice times offered great views orangutan lot came feedingthe center offers two feedingviewing times outdoor area adults behind glass area young adolescent orangutan primates come ropes play whilst also come feeding platform  also see macaque monkeys hot center prepared highly recommend visit,2022,9
5.0,2022-09-27,Couples,1,wonderful place see orangutans natural habitat well young ones nursery tons monkeys see well went  pm feedings went nursery went back feeding platform way got see monkeys heading back feeding monkeys sizes including baboons mothers babies cute,2022,9
5.0,2022-09-15,Couples,1,wow must visit centre well run animals looked well highly recommended take guide,2022,9
5.0,2022-09-10,Not Specify,1,went borneo see orangutans started figuring way guaranteed see went kinabatangan river even better expected especially saw largest alpha male huge excellent set viewing without close staff good moving visitors orangutans decided walking decking easier ground went  times loved time,2022,9
5.0,2022-09-06,Family,1,enjoyment depend many orangutan see first visit  years ago saw  orangutan found trip disappointing recent trip saw  orangutan feeding session going leave feeling little satisfied staff pointed nursery wasnt aware first time walk aweinspiring high trees nursery sit indoors watch  orangutan glass playing monkeying around amazing trip,2022,9
3.0,2022-08-26,Family,0,expectations may high wanted love experience read amazing reports rehabilitation efforts good great shuffled room watch video  quite sit comfortably crowds viewing platform distanced animals feels like zoo expected nursery cafe gift shop currently closed left feeling underwhelmed,2022,8
5.0,2022-08-20,Not Specify,1,absolutely wonderful experience see threatened animals looked rehabilitated make sad mankind destroying environment beautiful creatures inhabit fantastic job centre doesdont forget visit sun bears entrance fee included orangutan ticket price across road worth seeing lovely bears visit adds another  minutes well worth,2022,8
4.0,2022-08-18,Family,1,taken excellent guide anzar whatsapp   collected us airport stayed us day taking us lapuk bay proboscis monkeys lunch banana cafe sun bears amazing canopy walk rainforest discovery centre pretty full day heat worth thanks anzar great daywe got around am opening pretty cheap get something like   adults child wait hour feeding time saw one macaque hour feeding time came two orang utans came ate followed another macaque guide said  normal see   orang utans felt pretty disappointing tbh mostly shaded still v hot time lots people seemed pay guides inside facility seemed waste time unless want know trees plenty staff around answer questionsmain thing though  understanding  going see load orang utans couple expectationwhat really interesting later day went sun bear place across road saw orang utan lolling tree right path m away lunch banana cafe eating another orang feeding tree walkway special seeing surprise natural habitat rather seeing couple specifically food provided luck course saw places,2022,8
5.0,2022-08-13,Couples,1,loved visit watch orangutan kindergarten younger ones come play learn cognitive skills well eat cheeky also walked around find  orangutan climbing trees two making nests must see,2022,8
4.0,2022-08-12,Family,1,rehab centre orangutans incredibly valuable work save superb creatures depending time visit may see youngsters fed able watch two indoor viewing platforms also outdoor feeding station stocked am orangutans showed day although macaques turned raid supplies shows orangutans living independently area need food offer  positive obviously bit disappointing tourists,2022,8
5.0,2022-08-03,Family,1,wow wow wow could leave comments  sure would justice amazing work team facilities work done centre incredible experience orangutang roaming free everything everyone else also fantastic please help incredible centre anyway,2022,8
4.0,2022-07-29,Family,1,stayed close able pop wildlife orangutan amazing  feeding times am pm am one rammed bus tours get busy pm feeding quiet  people attend patient monkeys put orangutan feeding eventually turn well worth visit note camera lense mm   get,2022,7
4.0,2022-07-25,Couples,1,everyone visits sepilok heads orang utan rehabilitation centre expect crowds expect hear people speaking trying enjoy sounds wild expect see many orangutans shapes sizes watched feeding time able secure good vantage point arriving  minutes feeding trying forget animals fed man able get amazing shots one pay rmb per camera phones included rmb lens greater mm animals close anyway use powerful lensthe nursery underwhelmingall great mustdo trip,2022,7
5.0,2022-07-20,Solo,1,great rehabilitation centre get close orangutans free roam around forest feeding times am pm advised arrive least min min avoid queues centre closed short period day day pm tickets cost myr nonmalaysians myr malaysians residents used whole day camera mobile phones excluded charged myr bags water bottles allowed due huge group macaque monkeys also frequent place need store away lockers outside entrance free feeding times missed orangutans swing trees gather platform close audience nursery back houses younger orangutans mothers babies guards helpful diligent keeping everyone safe orangutans come walking bridge workers great job making sure minimal contact humansthere bornean sun bear reserve next door much well stocked gift shop would recommend sepilok nature resort sepilok jungle resort stay nature resort amazing food local western options best  two weeks sabah also great views would highly recommend dinner theresepilok min drive sandakan airport seen people say arrive  hours flight early morning baggage dropsecurity took min able get taxis nearby hotels am using grab app book hotel booked one am arrive overall brilliant experience went see orangutans three times time unique memorable must sabah,2022,7
5.0,2022-07-11,Couples,1,really nice see orangutans natural habitat many thanks anzar great transport services advice places visit,2022,7
5.0,2022-07-04,Couples,1,arrived hot morning told leave everything cameras locker car would liked taken bottle water uswe watched video work centre orangutans went feeding platform mother baby young orangutan waiting trees feeding time large male appeared mother baby quickly left youngster waited patiently adult male ate bravely joined macacs loitering waiting male leavenext boardwalk walk see young orangutans prepared release wild watched play breakfast visit couple hoursthis main reason visiting borneo seemed lot smaller expected still glad went next door sun bear conservation centre two visits one,2022,7
3.0,2022-06-26,Not Specify,0,bit disappointed organisation great job rehabilitation centres important apart nursery feeding platform limited options walk around jungle allowed take anything even drinking water camera depending size pay extrafee bring one lens without water much opportunities walk around short visit feeding hour back also missed bit information ranger bring food platform crowd tourists waiting front words centre number orang utans work etc visitors centre many people go therefore make work centre known success stories funding etc recommend say word guests start feeding tourists walk nursery feeding platform leave,2022,6
5.0,2022-06-24,Not Specify,1,amazing place turned head feeding station hoping see orangutans within  minutes entering heard rustle trees mother baby descended  feet away us amazing experience well worth visit see would give centre anything  stars,2022,6
4.0,2022-06-21,Not Specify,1,lovely place visit see sanctuary orangutans see feeding playing watch long want needs become norm wildlife assisted n feeding humans need stop ruining natural habitat leave well alone,2022,6
5.0,2022-05-20,Family,1,amazing arrived time afternoon feeding lots orangutans see hear playing eating could barely leave nursery watching play consuming lovely see hard work team  release  orangutans wild  fenced anyway  ready wander live happy lives,2022,5
3.0,2022-05-05,Family,0,scenario feeding time changed oranghutan many wild monkeys appeared monkeys taken feeding platform chased oranghutan away sad scenario,2022,5
4.0,2021-06-07,Not Specify,1,couldnt help feel little disappointed could much said simply must activity visited part tour g adventures really good experience fortunate enough see orangutans wild week able get close see orgtan eedng station walkig along boardwalk literally metres front us truly incredible experience bit issue counting gopro camera professional equipment bridge camera technically remit got charged fairly heavily though everything greatthe orphanage great seeing two orangutans playing amongst included comedy golddefinately worth making trip,2021,6
5.0,2021-03-10,Not Specify,1,whole experience amazing orangs free wonder around forest visitors clearly told interact keep clear cross paths pleased many times see animals used impress tourists animals expense feeding time done distance safe orangs visitors got spectactular view able buy items help fundraise orangs much information available visitors animals would recommend sponsor orang really benefit sent little pack uk nice surprise return tripthe bornean sunbear sancturary next door also would also recommend visiting centres,2021,3
4.0,2020-08-04,Friends,1,made great decision travel sabah peninsula malaysia sabah boarder open travel nice peaceful time visited morning arriving around am wondered along board walk spotting  utans almost immediately spent hour feeding session casually watching  orangutans hang around trees play around  people nice trying jostle viewing positions imagine peak pre covid season unbelievable close view spectacular animals unfortunately seem trained somewhat listening commands guides making experience little less authentic pleased situation leaving big female swinging along side us guide made sure safe continue walking returned afternoon visiting sunbears little disappointed many local families arrived crying children cellphones ringing loud lucky spotted mother baby sun bear sanctuary absolutely beautiful nice see going business away sanctuary malaysia please look rainforest protect orangutans natural home stop palmoil pantaions,2020,8
3.0,2020-06-27,Not Specify,0,perhaps expectations high felt lacking little great place motives fully supportive project unfortunate saw two female orangutans majority saw younger orangutans nursery area perhaps felt artificial us zoo like expecting dont get wrong cages etc like zoo could wander freely quite expecting hence scoreany larger males moved area make territory scare orangutans makes sense disappointing ones expectations,2020,6
2.0,2020-04-13,Friends,-1,liked much kuching one sepilok like circus people walking close orangutangs rules go better kuching,2020,4
4.0,2020-03-29,Not Specify,1,great place visit although much tourist site slightly whelmed however see importance need place create revenue promote need orangutang conservationgreat see orangutangs well looked rehabilitated idea rereleased wild guide made sure right place right time see daily feeding sessions take place viewing youngsters done inside room large glass viewing window feeding elders done platform jungle  meters boardwalk viewing platform treated visit mature male apparently unusual amazing see face platesoverall must visit ensure see orangutang visit borneo luckily saw many proper habitat wild,2020,3
5.0,2020-03-23,Not Specify,1,absolutely fantastic even got quite close orangutan one walking hand rail walk way visited morning afternoon afternoon seemed quitter morningluckily cash  read anywhere prior going cash,2020,3
5.0,2020-03-22,Not Specify,1,great place wonderful work sanctuary orangutans well looked rehabilitated back wild  wonderful observe natural habitat happy free went morning feeding nursery cute amusing walk platform feeding older ones good guide asked wanted go back afternoon big yes everyone tour could watch beautiful animals day,2020,3
5.0,2020-03-20,Couples,1,loved sanctuary orangutans amazing fascinating watch went  times feeding sessions adults really cheeky come close watched video first listened entertaining talk casey great knew orangutans names good see enthusiasm passion help endangered species keepers brilliant always keeping eye things young orangutans hilarious watch could sat watched hours centre well run staff obviously dedicated highly recommended,2020,3
5.0,2020-03-19,Not Specify,1,fantastic place sanctuary orangutan without cages fences keep support prepare longterm goal releasing orphaned infants back wildas entered long single orangutan walked along boardwalk assess us encounter feet away us fences barriers spot trees explore forestthere orangutan playground view behind glass screen fascinating much returned second visit sanctuary later day spent well hour watching antics,2020,3
5.0,2020-03-18,Not Specify,1,visit highlight holiday singapore borneo arrived early masses watched presentation sanctuary needed onto first feeding station  orangutans waiting thier food including many babies fantastic observe interacting together later dispersed tribe macaques arrived cleared remaining leftoversfrom visited nursery sat mesmerised watching younger orangutans playing also fed nursery sit glass fronted auditorium air conditioned youngsters see get familier humans lunch onsite cafe ok basic returning nursery absolute fantastic time,2020,3
5.0,2020-03-07,Couples,1,loved stayed whole day st feed saw quite orangutans nd feed afternoon great really think great cause thanks rehabilitation able see orangutan,2020,3
5.0,2020-03-07,Couples,1,visit little orang utangs nursery feeding time mature urang utangs even movie parc really interesting useful fun day,2020,3
5.0,2020-03-02,Friends,1,arrived early enough get good seat feeding nursery gets quite busy quite quicklylovely see young orangutans playing eating herewe moved another feeding platform managed see mother baby feeding local macaque  arrived took oververy small gift shop made bigger would make fortune nice little cafe well,2020,3
5.0,2020-03-01,Not Specify,1,went morning ok overcrowded first take orangutan kindergarden sit inside house watch little ones behind glass take outside feeding platform see orangutans also monkeys passing afternoon saw huge buses way people coming looks like morning session choicebecause almost impossible see orangutans wild especially little time go deep jungle option see conveniently unfortunately might planet soon dont complain like zoo go support centres run good cause,2020,3
5.0,2020-02-29,Couples,1,see orangutans main reason came borneo place great specifically rescue rehabilitation orangutans came two days  cheap get first morning raining  see orangutans except nursery humans contained behind glass presumably protect mums babies learnt  raining orangutans stay hidden trees however afternoon lots orangutans trees planked walk ways tame used human contact went back next day saw quite hanging around near nursery rather feeding platform patient zoo orangutans free go please place benefit,2020,2
4.0,2020-02-26,Solo,1,ticket valid feedingsall day access place close though went twice morning feeding showed one orang utan baby many macaques left nursery cute teach orang utans skills possible also see wild orang utans welcomed came back afternoon watched video near lockers oh yeah bag locker free nice movie tells missed second feeding saw  orang utans tree near nursery watched came closerand closer boardwalk stood super still let pass meter us quite exciting close understand work theyre orang utans shy got close people wonder effects programm would get close people wild well think people harmfull even could hunters whatever see staffmembers really involved,2020,2
4.0,2020-02-24,Couples,1,really enjoyed suggest go early opens am tickets available feeding rehabilitating youngsters  watch behind glass outdoor feeding am variable whether orang utans turn diet means encouraged attend fend themselveslearned lot recommended going,2020,2
5.0,2020-02-22,Friends,1,sepilok orangutan exceeded expectations visited morning afternoon orangatan free roam jungle never know see saw big male within  metres female baby within  feet bit scary nothing else borneo visit amazing place whilst please look adoption ir cheap visit little extra go far also went cafe food good,2020,2
4.0,2020-02-21,Couples,1,stayed sepilok visited better tour sometimes orangutans appear feeding times good idea flexibility spend day sepilok worthwhile watch information video sanctuary work doingif expecting amazing experience see orangutans wild really  advocate coming essentially rehabilitation centre extremely busy bus loads tourists near definitely visit trip based around seeing orangutans sepilok might bit disappointed want tick seeing orangutan get nice pictures see close think could plan trip might visited national parks indonesian borneo rather sepilok,2020,2
5.0,2020-02-20,Couples,1,brilliant place see creatures natural environment nursery great place pictures even big male turned help food,2020,2
4.0,2020-02-16,Friends,1,two feedings lunch  sit indoor  stand outdoor afternoon  pm  pm look bag free entrancewe saw lot orangutangs second feeding big alfa male three mothers babies took taxi tour started orangutangs feeding walk rainforest km away back sepilok lunch restaurant went sun bear rehabilitation centre m away went back orangutangs last feeding paid rm taxi day orangutang entrance rm sun bear entrance rm rainforest entrance rm,2020,2
5.0,2020-02-15,Not Specify,1,world famous orangatan sanctuary jungle environment near sepiloksandakan malaysia easy get cab still seems jungle ou cages orangs fed therefore show schedule eat present close upone two crawled viewing platform   feet us orangs habituated humans really worth seeingday feedings draw crowd th viewing platformbut unless see orangs fully wild setting like thisadmission inexpensive  malaysian well worth italso right across road similar sun bear sanctuary even wild sun bears close enough see highly worth going,2020,2
4.0,2020-02-12,Not Specify,1,arrived am ready opening first stop young ones nursery aware see behind glass may busy went one feeding stations lucky see wild orangutans also alfa male joined apparently arrives occasionally black squirrels cheeky macaques borneo baboons seen around tolerated,2020,2
5.0,2020-02-07,Not Specify,1,adore orangutans always going love place get see older orangutans natural environment juniors nursery could stayed hours watching cheeky antics aware orangutans come feeding platforms guaranteed many see went twice saw far second day even boardwalks walking,2020,2
5.0,2020-01-20,Not Specify,1,saw one orangutan feeding platform lots monkeys forest beautiful though spending time walking around really worth visit also took night tour ranger saw nocturnal animals learn lot highly recommend jungles night feels definitely different visit nursery watch baby orangutans heart melting,2020,1
5.0,2020-01-20,Not Specify,1,visited christmas day saw orangutan proboscis monkeys macaques witnessed fight busy xmas day think probably quieter always good views,2020,1
5.0,2020-01-20,Couples,1,sepilok ticked boxes  amazing facility done keeps able see orangutans natural habitat happy truly amazing anyone thinking visiting definitely should  forget leave little donation buy small gift help ,2020,1
4.0,2020-01-17,Not Specify,1,went morning saw babies first grandaughters enjoyed went next feeding area  orangutans came feed visiting places back afternoon feeding great got see female orangutan babies,2020,1
4.0,2020-01-13,Family,1,amazing experience reading vinays review getting early greeted  orangutans also flew day kota kinabalu aim see  sites orangutans bears proboscis monkeys temple achieved aim also went war memorial stepped airport hired taxi day drove straight sanctuary already orangutan roof within minutes one tree another another roof playing highlight one decided go swinging one roof another standing underneath amazing inside made feeding times however waiting adult feeding sudden husband away crowd orangutan walking railing towards amazing site see orangutan got closer quickly got way sanctuary must visit go first thing morning really dont need book tour save lot money guides friendly happy answer questions also everything day time relax lunch,2020,1
4.0,2020-01-08,Not Specify,1,good see government funding efforts like centre assist rehabilitation orangutans facility great however bandaid real problem deforestation borneo palm oil plantationshaving said opportunity understand impact problem see magnificent somewhat solemn apes close nursery cool good viewing points feeding platform overrun monkeys didnt get see larger orangutans feeding apparently  orangutans dont like monkeysworth visit,2020,1
5.0,2020-01-08,Couples,1,rehabilitation centre great experience clear animals looked afterwe arrived early waiting centre open greeted  orangutans decided climb roof building sit stare visitorsthe orangutans caged space free scale forests neighbouring spaceswhen walking forests several orangutans walked past us guides ensure orangutans public get closegreat experience,2020,1
5.0,2020-01-08,Couples,1, always wanted see orangutan wild rehabilitation center somewhere end goal fully integrate jungle rescued free roam enclosures rely still fed center see come platform food fed bland food hope eventually  come hack found better snacks jungle lucky saw  mums little babies  wonderful places like tying save amazing apes extinction worthwhile visit really opened eyes important places like borneo  natural wildlife,2020,1
5.0,2020-01-05,Not Specify,1,centre existence time quite lot tv exposure much needed valuable work help secretive beautiful creatures difficult see wild even sometimes difficult spot nursery area place see youngsters could spent whole day watching well worth visiting know helping support amazing work would love go back one day,2020,1
4.0,2020-01-02,Not Specify,1,years ago wife made trip van tawau kk distance  km  miles driving time   hours well guess still lot rainforest sabah along road rainforest anymore birds animals sounds heart lot crickets far could see large forest thousands oil palmsplantations natural habitat gonethere short stop orangutan rehabilitation centre making pics feeding time beautiful animals im still angry today,2020,1
5.0,2020-01-02,Not Specify,1,delightful watching orangutans particularly touching see warmth staff bonding orangutans staff must visit great experience,2020,1
4.0,2020-01-01,Not Specify,1,centre specifically rehabilitation orangutans independent encouraged move forest although busy thoroughly enjoyed trip guides knowledgeable shortage orangutans see,2020,1
5.0,2019-12-27,Not Specify,1,seeing orangutans another bucket list entries managed tick brilliant experience well done everyone involved centre efforts save majestic animals visited morning afternoon feeding sessions first tip watch overview video first arrive going indoor feeding area outdoor feeding platform everything well done orangutans seem happy healthy probably criticism people centre visitors stand glass indoor viewing area preventing everyone sitting designated viewing area seeing outdoor viewing area huge lucky wet season crowds small told gets busy ability view orangutans much difficult high season sure support efforts adopting orangutan,2019,12
5.0,2019-12-22,Not Specify,1,half day sepilok amazing got see orang utans natural environment really opens eyes people planet,2019,12
5.0,2019-12-21,Friends,1,amazing place visit orangutan forest area group friend visit  lot tourists visit place borneo sunbear beside sepilok regret visit sepilok sanctuary center children like much twice feeding time am pm best time reach am biz hour start am pm request grab car reach destination easy way even return back hotel,2019,12
5.0,2019-12-19,Not Specify,1,visited centre part borneo tour amazing experience magnificent creatures amazing watch staff centre amazing things preserve future generations,2019,12
5.0,2019-12-19,Family,1,fabulous place missed takes hour easy walk along boardwalk lovely natural atmosphere,2019,12
5.0,2019-12-18,Not Specify,1,short drive hotel orangutan centre two parts visit first shown airconditioned room floor ceiling glass looking onto young orangutans play feed twice day onto outside feeding areas edge forest guaranteed orangutans visiting day visited lucky see two mothers babies   juvenile males spent  minutes taking photos watching feed obviously become use noisy tourist come visit every day food eaten went back forest,2019,12
5.0,2019-12-16,Solo,1,enjoyed day sanctuary although bus earlier  dont book grab bus going back sandakan turn  meant grab ways alot rain good ther fair orangutan nursery feeding platform afair came am feed happy get great pics videos see cool animal,2019,12
5.0,2019-12-12,Friends,1,bit afraid park would feel like zoo  places watch feeding orangutans one place glass see closely place open platform small park need less  hours visit absolutely worth visit,2019,12
4.0,2019-12-09,Family,1,hire taxi airport day rm it  around  hr drive sandakan airport located next door borneo sun bear conservation center car rental also available airportfeeding time  pm centre closes pm  bring bags inside visiting orangutans free lockers provided near ticket areaticket price adults rm  child rm can spend around hr cafeteria providing soft drinks food like fried riceit  really worthy see swinging orangutans rain forestif interested adapt orangutan rm ursupport wild life,2019,12
4.0,2019-12-03,Family,1,brought daughter see orang utan unfortunately dont see feeding platform feeding time many nursery daughter love,2019,12
5.0,2019-12-02,Not Specify,1,actually thought orang utan big sizewrong big one gorilla orang utans cute gentle animals hairysome bald good walk entrance towards sanctuary though sunny cool walking rainforest,2019,12
5.0,2019-11-17,Couples,1,good facility easy access good viewing urang utans also spent time sun bears rehabilitation centre next door worth experience,2019,11
1.0,2019-11-16,Friends,-1,high expectations looking forward see orangutans borneo complete tourist trap could seen kind feeding scandinavia well build showroom see orangutans glass wanted see wild nature wast money disappointed,2019,11
5.0,2019-11-16,Couples,1,visited  times four days glad twice saw orangutans nursery clear close encounters around  orangutans  visits afternoons less busy tourists walk rainforest keep eye trees best sightings away feeding area,2019,11
