reviewer_rating,review_date,reviewer_category,text_review
5.0 of 5 bubbles,Written 7 April 2023,Couples,Lovely place to go to see the orangutans in their natural habitat. Lots of us tourists there but it was well organised. Don't miss the feeding times! Loved it
5.0 of 5 bubbles,Written 26 March 2023,Couples,"If you need a private hire car and driver and avoid using rip-off tour operators, just WhatsApp Anzar on +60 178217605.  He speaks great English, is polite and importantly is a safe driver,  His vehicle will take luggage if you need collecting from the airport.  We used Anzar to go to Orang Utan Sanctuary, Proboscis Monkeys, Kinabantangan River and to take us to the jetty for Turtle Island.  Don’t use a tour operator as he will take you to these places and you book tickets direct.  For example an all day ticket to Orang Utan (tours often don’t tell you ticket is valid for both feeding sessions and that is important because if the Macac monkeys turn up the Orang Utan likely won’t and we saw not much on the morning due to the Macacs, but loads of Orang Utan in the afternoon) is MYR35 or £6 and some operators are charging £70 just because they pick you up.  Turtle Island booked direct (I have given Anzar the details) is also 50% cheaper than a tour operator.  He is not working on commission, but charges for his driving costs.  When not doing this, he acts as a Grab Taxi."
5.0 of 5 bubbles,Written 13 February 2023,,"This is one of the must-see attractions in Sepilok. It is almost guaranteed to see an orangutan here, but it is still good to remember that this is not a zoo and orangutans are roaming freely. When we visited the place, we saw just one orangutan with a baby on the first feeding and three on the second one. The ticket is valid for the whole day so if you stay in the area, you can watch both feedings.The place itself is relatively simple. It is just a boardwalk with single feeding platform. Then again, that is all you need. Feeding platform can get relatively crowded during feeding times. If you stay in the area, it is best to arrive 30-45 minutes before the feeding time to enjoy some quiet time.When we were there, wearing a mask was mandatory to protect the orangutans. Also, no bags are allowed and they must be left in the guarded storage room."
4.0 of 5 bubbles,Written 29 January 2023,,"There are 2 feeding times each day. You'll need to wear a face mask and leave your belongings in a locker so be prepared for this.  After a short walkway, you'll reach the feeding platform. Don't forget to look up as you walk as there are several wild orang utan around.  Get there early, we went earlier to watch orang utan playing around the feeding platform.  When the food comes, the monkeys appear from all directions. Well worth the visit."
5.0 of 5 bubbles,Written 27 January 2023,Couples,"What a great place to visit. We were lucky enough to see 4 orangutans on the morning we went.  We hired a private driver anzar +60 17-821 7605 on what's app. He was fantastic he took us to the Proboscis monkeys and Sunbears as well. Very reliable. Please remember this is a wild sanctuary and you are not guaranteed to see any orangs. If none come for feeding it means they are doing a great job.Your ticket is valid for both morning and afternoon feedings.The baby area was under Reno when we visited which was a shame, but still worth the trip"
5.0 of 5 bubbles,Written 22 January 2023,Family,"We arrived at 9.45am for the feeding time at 10.00am. To our surprised, we were lucky this time as the dominant male are present at the feeding platform. The overall experience were amazing. On our way out, we found 1 orang utan near the office."
5.0 of 5 bubbles,Written 5 January 2023,,"The morning feeding happens at 10am. We arrived at 9+ am, viewed the display area and watched an orang utan video before venturing to the platform in wait of the orang utans. Did you know that the orang utans are given the same food everyday so that they get bored and would forage for themselves? A few orang utans appeared fortunately. It was a privilege to see them."
5.0 of 5 bubbles,Written 28 December 2022,Couples,"Brilliant work done here and well worth visiting more than once to try your luck. People downgrading the reviews because “there’s not much to see” are utter morons!!!This is not a zoo, the chance of seeing these amazing animals here is just that, a chance and you pay a very reasonable price to visit and support this incredibly important project. We stayed nearby for 2 nights before joining a tour and visited a few times so this is a really good idea if you want to maximise your chances. The first afternoon session we arrived early and were very lucky to see a number of orang-utans including a mother with a tiny baby. The animals are wild! Yes is a sanctuary but the platform you can observe has no fences so they may be there, they may not. So might other wild grey monkeys! Obviously chances are higher outside of the main fruit season when the monkeys need a supplement to their diet. Please be mindful of your surroundings and respect the quiet they deserve while eating. Bags are not allowed so lockers are available, large cameras are charged an extra fee but phones are ok. If I see one more person FaceTiming someone on full volume at one of these places I might scream, you people are so inconsiderate, one staff member was reminding people to be quiet but I think they could impress this a little more firmly. All in all I would not have missed this - go without expectations and enjoy!"
5.0 of 5 bubbles,Written 26 December 2022,Friends,"So lucky to encounter a giant orang utan , 29yo. Even the center worker from other area will come to see if they know a giant one turns up. Is a luck thing. Apparently they can live up to our human age. They live in the wild and can chose to come whenever. If they managed to find food in the deeper part of the jungle , then they won’t come. That giant OU apparently is super strong. Was told that it will take 3 body builders to restrain it.  Was told is a she because baby OU hangs around close to her. Her hand palms reminds me of gorilla palms.Only one platform is opened. Their bridge was affected by falling tree trunks and so they have closed the second platform and nursery section. I was hoping to buy mineral water but cant find any.. miss drinking sparkling mineral water cause it was quite hot. The local stalls were only selling sugary drinks. So please bring your own water. Also at car entrance, there is a teenage dog looking like a horse in white who is under nourish and hungry. Super skinny too. I bought the fried fish cake from local stall to feed him. Kindly bring a bag of kibbles or better still any leftover rice meal to feed this skinny dog and his friend. Stay kind."
4.0 of 5 bubbles,Written 23 December 2022,Family,I rate it 4 out of 5 because there're not many orang utans there but it is a very suitable place to visit with family and friends.
5.0 of 5 bubbles,Written 3 December 2022,Friends,The main part of our trip was to see the orang-utangs and we certainly weren’t disappointed. The way that they are looked after is amazing. The helpers here are so dedicated to their well-being. Unfortunately the only downside was the video kept stalling. It’s an important part of the tour and we felt it was a valid and important part of the trip.
5.0 of 5 bubbles,Written 30 November 2022,,"Fantastic visit to see both the orangutans as well as nearby sun bears. While the bears were kind of shy and we didn't see them a great deal, we did see three. The orangutans were amazing. Saw an alpha male and got to watch them close up and see their behaviour and the response of others deferring to the alpha male. Quite an experience. The staff were impressive both in their care of the animals and in their knowledge of them. Definitely a highlight of the trip. I had been to Ruanda to see gorillas and was excited to see orangutans."
4.0 of 5 bubbles,Written 19 November 2022,,"Great opportunity to learn about orangutans in Malaysia and to see them up close.  As there are no orangutans in the wild on peninsular Malaysia, this centre has been created to educate locals and visitors where they are more likely to reach more people and therefore to be able to raise more donations (understandable). They stated animals are released on Borneo when they are old enough and if they have adequate life skills. Enclosures seemed adequate/relatively natural, our guide was knowledgeable, and animals seemed to have some privacy. Time at centre is limited by boat schedule, but provided reasonable amount of time."
5.0 of 5 bubbles,Written 2 November 2022,,"A fabulous afternoon, we saw lots of orangutans and the alpha male. Lovely to see all the work the staff are doing there, the film we watched really highlighted this. A real highlight. A must visit in Borneo."
4.0 of 5 bubbles,Written 26 October 2022,,"Really enjoyed our visits to the sanctuary. Saw many orangutans of all sizes,   including the dominate male! It was such a treat to see this enormous guy. We  revisited in the afternoon and it was not as crowded with tourists as the morning session. Maybe less tourist noise in the afternoon meant the orangutans were more comfortable coming out onto the feeding platform?The security/rangers did a good job keeping tourists away from the orangutans that inevitably find their way onto the walkways.The glassed rehabilitation area allows for comfortable viewing of the young/invalid orangutans. Don’t let the glass put you off as the feeding platform (which follows the glassed nursery viewing) is really great. Get there early for good position.Lots of monkeys cashing in on a free feed, but they know the orangutans are boss and keep a respectful eye on them!Encouraging to see such a healthy looking jungle around the feeding platform. The surrounding jungle is apparently is quite vast in size.We heard a Pygmy Elephant as we were leaving, but tourists do not get to see them."
4.0 of 5 bubbles,Written 6 October 2022,Couples,"This place has been on my bucket list and didn't disappoint.First thing to say No credit cards can be used here! No ATM in Sepilock! You cannot take a bag large or small in. No food or drink inc water can be taken to the feeding station. Locker storage is provided free.The nursery is currently closed which was disappointing due to maintenance, but these things happen.We visited 5 times over 4 days. I would suggest afternoon visits are better. Not so busy as less tour groups and we saw far more Orangutans in the afternoon. Each day we visited we were incredibly lucky. Seeing Mum's with babies clinging to them and individual Orangutans. On 2 visits we were graced by the presence of the Alpha Male. He is huge! Apparently he generally visits every 3 weeks or so!The staff at the centre are informative and friendly. They take the safety of the visitors seriously but also the welfare of the Orangutans is just as high a priority.Can't recommend highly enough if you want to see wild Orangutans "
5.0 of 5 bubbles,Written 27 September 2022,Friends,"I visited the center twice and both times offered great views of Orangutan and a lot of them came down for feeding.The center offers two feeding/viewing times and have both an outdoor area for adults and behind glass area for young and adolescent orangutan. The primates come down from the ropes and play, whilst also come down the feeding platform too. You’ll also see macaque monkeys there too. It was very hot at the center, so be prepared. Highly recommend to visit."
5.0 of 5 bubbles,Written 27 September 2022,Couples,A wonderful place to see orangutans in a natural habitat as well as young ones in the nursery. There are tons of other monkeys too see as well. We went at the 3 pm feedings went to the nursery and then went back to the feeding platform and on our way got to see all the monkeys heading back from from their feeding. There were monkeys of all sizes including baboons and mothers with babies. So cute! 
5.0 of 5 bubbles,Written 15 September 2022,Couples,Wow a must to visit the centre is very well run and the animals are looked after very well highly recommended take a guide with you.
5.0 of 5 bubbles,Written 10 September 2022,,"We went to Borneo to see orangutans so started here figuring this way we were guaranteed to see them before we went to the Kinabatangan River.  It was even better than expected, especially because we saw the largest alpha male who was huge!    They have an excellent set up for viewing without being too close and the staff were good at moving visitors if an orangutans decided walking on the decking was easier than the ground.   We went 4 times and loved it each time."
5.0 of 5 bubbles,Written 6 September 2022,Family,"Your enjoyment of this will depend on how many orangutan you see. On my first visit 16 years ago, I only saw 2 orangutan and found the trip disappointing. On this recent trip , I saw 9 orangutan during the feeding session. I was going to leave, feeling a little more satisfied and then the staff pointed me to the nursery which I wasn't aware of the first time. The walk there has some awe-inspiring very high trees. At the nursery,  you sit indoors and watch 8 orangutan through a glass playing and monkeying around. So this was an amazing trip."
3.0 of 5 bubbles,Written 26 August 2022,Family,"Our expectations may have been too high, we wanted to love this experience as we had read amazing reports about their rehabilitation efforts, but it was good not great. Shuffled into a room to watch a video that just doesn’t quite sit comfortably, crowds at the viewing platform are distanced from the animals and it feels more like a zoo than we expected. The nursery, cafe and gift shop are all currently closed, left feeling underwhelmed."
5.0 of 5 bubbles,Written 20 August 2022,,"What an absolutely wonderful experience, see how these threatened animals are being looked after and rehabilitated, but make you so sad that mankind is destroying the environment that these beautiful creatures inhabit, but what fantastic job this centre does.Don't forget to visit the Sun Bears (entrance fee included in your Orangutan ticket price) across the road. Worth seeing these lovely bears, visit adds another 45 minutes or so but well worth it."
4.0 of 5 bubbles,Written 18 August 2022,Family,"We were taken here by the excellent guide Anzar (WhatsApp +60 17-821-7605) who collected us from the airport, and stayed with us all day taking us to here, then Lapuk Bay for proboscis monkeys, then lunch at Banana Cafe then sun bears then the amazing canopy walk at the rainforest discovery centre.  A pretty full on day in the heat but worth it.  Thanks Anzar - it was a great day.We got here around 9am for opening, pretty cheap to get (something like £10 for 2 adults and a child) but then had to wait for an hour until feeding time.  We only saw one macaque in that hour.  Feeding time came and two orang utans came and ate followed by another macaque - our guide said it’s normal to see 2 or 3 orang utans which felt pretty disappointing tbh.  It was mostly shaded but still v hot at that time.   Lots of people seemed to pay for guides inside the facility which seemed a waste of time to me unless you want to know about trees.  There were plenty of staff around to answer questions.Main thing though is it’s my understanding you’re not going to see a load of orang utans and a couple is about the expectation.What was really interesting was that later in the day we went to the sun bear place across the road and saw an orang utan lolling about in the tree right above our path - 2m away.  We had lunch at Banana Cafe and while eating another orang was feeding in a tree just above the walkway.  It was more special seeing them as a surprise in their natural habitat rather than seeing a couple down specifically for the food provided.  It was all luck of course that we saw them at the other places."
5.0 of 5 bubbles,Written 13 August 2022,Couples,We loved our visit here to watch the orangutan kindergarten where the younger ones come to play and learn cognitive skills as well as eat and be cheeky.  We also walked around to find 3 orangutan climbing trees and two making nests!  A must see.
4.0 of 5 bubbles,Written 12 August 2022,Family,"This rehab centre for orangutans does incredibly valuable work to save these superb creatures. Depending on the time you visit, you may see the youngsters being fed. You are able to watch them from two indoor viewing platforms. There is also an outdoor feeding station which is stocked at 10am. No orangutans showed up the day we were there (although some macaques turned up to raid the supplies!) which shows that the orangutans who are living independently in the area are not in need of the food on offer. That’s a positive but obviously a bit disappointing for the tourists!"
5.0 of 5 bubbles,Written 3 August 2022,Family,"Wow wow wow..  I could leave the comments at that, but I’m not sure that it would do justice to the amazing work the team do here. The facilities and work done by the centre are incredible. The experience the Orangutang roaming free and being out before everything and everyone else was also fantastic. Please help this incredible centre by anyway you can!!"
4.0 of 5 bubbles,Written 29 July 2022,Family,"We stayed close by and were able to pop in and out. The wildlife and the Orangutan are amazing. There are 2 feeding times, 10am and 3pm, the 10am one is rammed with bus tours and can get busy, the 3pm feeding was very quiet with only about 20 people there. If you do attend be patient, the monkeys put the orangutan off feeding but they do eventually turn up. Well worth a visit. Just of note if you have a camera lense over 400mm it’s £200 to get it in!"
4.0 of 5 bubbles,Written 25 July 2022,Couples,"Everyone who visits Sepilok heads for the Orang utan rehabilitation Centre. Expect crowds, expect to hear people speaking to each other while you are trying to enjoy the sounds of the wild, but expect to see many orang-utans in all shapes and sizes. We watched feeding time and was able to secure a good vantage point by arriving 30 minutes before feeding. Trying to forget that these animals are fed by man, we were able to get amazing shots. One had to pay 10RMB per camera (phones included) and RMB1000 for any lens greater than 400mm. The animals are too close anyway to use such a powerful lens!The nursery was underwhelming.All in all a great must-do trip."
5.0 of 5 bubbles,Written 20 July 2022,Solo,"This is a great rehabilitation centre where you can get very close to the orangutans, who are free to roam around the forest. Feeding times are at 10am and 3pm, and you are advised to arrive at least 15min before (or 30min to avoid the queues). The centre is closed for a short period during the day and for the day at 4pm. Tickets cost MYR30 for non-Malaysians (MYR5 for Malaysians or residents), and they can be used for the whole day. If you have a camera (mobile phones excluded) you will be charged MYR10. No bags or water bottles are allowed in due to a huge group of Macaque monkeys that also frequent the place, so you will need to store them away in the lockers outside the entrance, which is free . The feeding times are not to be missed as the orangutans swing down from the trees and gather on a platform very close to the audience. The nursery further back houses more younger orangutans and mothers with their babies. The guards are very helpful and diligent in keeping everyone safe should orangutans come on to the walking bridge. All workers there do a great job of making sure there are minimal contact with humans.There is a Bornean Sun Bear reserve just next door, with a much more well stocked gift shop. I would recommend the Sepilok Nature Resort or Sepilok Jungle Resort to stay. The Nature Resort has amazing food with local and western options (best I’ve had during my two weeks in Sabah) also with great views, so I would highly recommend having dinner there.Sepilok is a 30min drive from Sandakan airport. I have seen people say arrive 1.5 hours before but my flight was in the early morning and baggage drop/security only took 15min. You are only able to get taxis from the nearby hotels from 6am (using Grab app or book at hotel). I booked one for 5:30am but it did not arrive. Overall it was a brilliant experience, I went to see the orangutans three times and each time was unique and memorable. This is a must do if you are in Sabah."
5.0 of 5 bubbles,Written 11 July 2022,Couples,Really nice to see the orangutans in their natural habitat. Many thanks to Anzar for the great transport services and advice on places to visit!
5.0 of 5 bubbles,Written 4 July 2022,Couples,Arrived on a very hot morning and told to leave everything but our cameras in a locker or the car. Would have liked to have taken a bottle of water with us.We watched a video about the work of the centre and the orangutans and then went to the feeding platform.  A mother and baby and a young orangutan were waiting in the trees for feeding time but a large male appeared and the mother and baby quickly left. The youngster waited patiently while the adult male  ate and then bravely joined in.  A few macacs were loitering waiting for the  male to leave.Next was the boardwalk walk to see the young orangutans being prepared for release in the wild.  We watched them play and have their breakfast and that was about it.  The visit was over in a couple of hours.This was our main reason for visiting Borneo and it seemed a lot smaller than we had expected. Still glad we went as next door is the Sun Bear Conservation Centre so two visits in one 
3.0 of 5 bubbles,Written 26 June 2022,,"Was a bit disappointed, but the organisation does a great job and such rehabilitation centres are important. Just, apart from the nursery and the feeding platform, you have limited options to walk around in the jungle. You are not allowed to take anything with you (not even drinking water), for the camera (depending on the size) you have to pay an extra-fee and can only bring one lens. So, without water and not much opportunities to walk around, it is more a short visit during feeding hour and then back. Also missed a bit information from the ranger, that bring the food to the platform, where then the crowd of tourists is waiting in front of it. A few words about the centre, the number of Orang Utans there, the work they do etc. There is a visitors centre, but not many people go there. Therefore to make the work of the centre more known, success stories, funding etc., I recommend, to say a few word to the guests, before they start the feeding. Now most tourists walk to the nursery, then the feeding platform and then leave."
5.0 of 5 bubbles,Written 24 June 2022,,"Amazing place! We turned up to head to the feeding station hoping to see the Orangutans, within 2 minutes of entering we heard a rustle in the trees and a mother and baby descended not 15 feet away from us, such an amazing experience. Well worth a visit. I cannot see why you would not give the centre anything but 5 stars!"
4.0 of 5 bubbles,Written 21 June 2022,,"This is a lovely place to visit and see what the sanctuary is doing for the orangutans, you can see them feeding and playing and just watch them as long as you want,,,,, BUT it needs to not become the norm for wildlife being assisted n feeding by humans, we need to stop ruining their natural habitat and leave them well alone"
5.0 of 5 bubbles,Written 20 May 2022,Family,This is just amazing. We arrived in time for afternoon feeding and there were lots of Orangutans to see and hear playing and eating. We could barely leave the nursery because watching them play was all consuming. Lovely to see all the hard work of the team as they “release” Orangutans into the wild (they’re not fenced in here anyway so when they’re ready they wander off to live out their happy lives)
3.0 of 5 bubbles,Written 5 May 2022,Family,"The scenario during the feeding time has changed. A few Oranghutan, but many wild monkeys appeared. The monkeys has taken over the feeding platform and chased the oranghutan away. A sad scenario!"
4.0 of 5 bubbles,Written 7 June 2021,,"I couldn't help but feel a little disappointed as this could have been so much more - that said this is simply a must do activity! We visited as part of a tour with G Adventures. This was a really good experience, having been fortunate enough to see Orangutans in the wild in the week before to be able to get up close and see an orgtan at the eedng station and then walkig along the boardwalk literally metres in front of us was a truly incredible experience. There was a bit of an issue with them counting my gopro and camera as professional equipment (It was a bridge camera so was technically not in the remit) and so i got charged fairly heavily. Other than that though everything was great.The orphanage was great too seeing two Orangutans playing amongst themselves included some comedy gold.Definately worth making the trip!"
5.0 of 5 bubbles,Written 10 March 2021,,The whole experience was amazing! The orangs were free to wonder around the forest and visitors were clearly told not to interact with them and keep clear when they cross paths which I was very pleased with as too many times do you see animals being used to impress tourists at the animals expense. Feeding time was done from a distance safe for the orangs but visitors got a spectactular view! You are able to buy items which help to fundraise for the Orangs and there is so much information available to visitors on the animals. If you can I would recommend that you sponsor an Orang as they really benefit from this and we were sent a little pack to the UK which was a very nice surprise after our return from our trip.The Bornean Sunbear sancturary is next door to this also so I would also recommend visiting both of these centres.
4.0 of 5 bubbles,Written 4 August 2020,Friends,"We made the great decision to travel to Sabah from peninsula Malaysia once the Sabah boarder open up for travel again. Such a nice peaceful time to be there. We visited on the morning arriving around 9am and wondered along the board walk spotting 2 utans almost immediately.  We spent the hour until the feeding session casually watching 4 Orangutans hang around the trees and play, only around 20 people there and so nice not trying to jostle for viewing positions as I imagine it will be during peak pre covid season. It was an unbelievable up close view of these spectacular animals! They unfortunately do seem to be trained somewhat listening to the commands of the guides making the experience a little less authentic but was very pleased with this situation as we were leaving a big female was swinging along side us and the guide made sure we were safe to continue walking. We returned in the afternoon after visiting the sunbears and was a little more disappointed as many local families had arrived with crying children and cellphones ringing on loud. We very lucky spotted a mother and her baby over by the sun bear sanctuary she was absolutely beautiful and so nice to see her just going about her business away from the sanctuary. MALAYSIA PLEASE LOOK AFTER YOUR RAINFOREST AND PROTECT THE ORANGUTANS NATURAL HOME!!! STOP PALMOIL PANTAIONS!"
3.0 of 5 bubbles,Written 27 June 2020,,"Perhaps our expectations were too high, but we felt this was lacking a little. Great place and motives  - fully supportive of the project, but we were unfortunate and only saw two female orangutans. The majority we saw were younger orangutans in the ""nursery"" area. Perhaps it all felt too artificial for us (zoo like) which is not what we were expecting. Don't get me wrong, there were no cages etc like a zoo, and they could wander freely, but just not quite what we were expecting, hence the score.Any larger males are moved out the area, so they do not make this their territory and scare off other orangutans, which makes sense, but again disappointing on ones expectations."
2.0 of 5 bubbles,Written 13 April 2020,Friends,I liked it much more in Kuching. This one in sepilok was more like a circus. People were walking so close to the orangutangs. No rules at all :(. Go better to Kuching. 
4.0 of 5 bubbles,Written 29 March 2020,,"A great place to visit although very much a tourist site, we were slightly under whelmed, however we can see the importance and need for this place to create revenue & promote the need for Orangutang conservation.Great to see that orangutang's are being well looked after and re-habilitated with the   idea of them being re-released into the wild, our guide made sure that we were in the right place at the right time to see the daily feeding sessions take place. The viewing of the youngsters is done from inside a room with a large glass viewing window. The feeding of the elders is done on a platform in the jungle about 30 meters from a boardwalk & viewing platform. Here we were treated to a visit from a mature male which was apparently very unusual, amazing to see his face plates.Overall a must do visit to ensure that you see an Orangutang during your visit to Borneo, luckily we saw many more in their proper habitat in the wild."
5.0 of 5 bubbles,Written 23 March 2020,,Absolutely fantastic we even got quite close to an orang-utan as one was walking on the hand rail of the walk way. We visited both morning and afternoon the afternoon seemed quitter than the morning.Luckily we had some cash as we didn’t read anywhere prior to going that its cash only.
5.0 of 5 bubbles,Written 22 March 2020,,"What a great place and what wonderful work this sanctuary is doing  The Orangutans are well looked after and rehabilitated back to the wild. It’s wonderful to observe them in the natural habitat happy and free. We went to morning feeding in the nursery so cute and amusing then walk over to the platform feeding of the older ones.  So good our guide asked if we all wanted to go back in the afternoon , a big YES from everyone on our tour. Could have watch these beautiful animals all day"
5.0 of 5 bubbles,Written 20 March 2020,Couples,We loved this sanctuary.  The orangutans are amazing and so fascinating to watch. We went 3 times for the feeding sessions.  Some of the adults are really cheeky and come very close.  We watched a video first and listened to an entertaining talk by Casey who was great and knew all the orangutans names.  So good to see his enthusiasm and passion to help this endangered species.  The keepers are brilliant too - always keeping an eye on things.  The young orangutans are hilarious to watch.  I could have sat and watched them for hours.  The centre is very well run and the staff are obviously dedicated.  Highly recommended. 
5.0 of 5 bubbles,Written 19 March 2020,,"What a fantastic place. A sanctuary for orangutan but without cages or fences to keep them in - just support as they prepare for the long-term goal of releasing orphaned infants back into the wild.As we entered it was not long before a single orangutan walked along the boardwalk we were on to ""assess"" us. It was an encounter that was only a few feet away from us - no fences or barriers. You can spot them in the trees as you explore the forest.There is an orangutan playground which you can view from behind a glass screen. This was fascinating - so much so we returned for a second visit to the sanctuary later that day and spent well over an hour watching the antics."
